env,method,n_seeds,mean_return,std_return,mean_total_cost,std_total_cost,mean_violation_rate,std_violation_rate,mean_episode_violation,std_episode_violation,mean_min_h_value,std_min_h_value,mean_intervention_rate,std_intervention_rate,mean_cost,std_cost
quadrotor2d_stab,SAC+Lagrangian,3,196.32832961110987,1.7431302064285614,1.2,0.16329931618554516,0.0048,0.0006531972647421808,0.26666666666666666,0.04714045207910316,,0.0,,0.0,1.2,0.16329931618554516
quadrotor2d_stab,SAC+Penalty,3,195.278245078027,0.4575382414771731,0.7666666666666666,0.04714045207910321,0.0030666666666666668,0.00018856180831641276,0.20000000000000004,2.7755575615628914e-17,,0.0,,0.0,0.7666666666666666,0.04714045207910321
quadrotor2d_stab,KCBF-SAC,3,195.52305753653414,1.630766575681738,1.2666666666666668,0.16996731711975946,0.0041333333333333335,0.0012364824660660938,0.10000000000000002,1.3877787807814457e-17,0.36350905793796234,0.008601911336943512,0.0061333333333333335,0.0022939534045447,1.2666666666666668,0.16996731711975946
quadrotor2d_track,LQR,1,84.50560074989492,0.0,108.25,0.0,0.6982744132853722,0.0,1.0,0.0,,0.0,,0.0,108.25,0.0
quadrotor2d_track,SAC,3,195.81139034878802,0.22650502662741592,31.366666666666664,3.431552936434982,0.12546666666666667,0.01372621174573993,1.0,0.0,,0.0,,0.0,31.366666666666664,3.431552936434982
quadrotor2d_track,SAC+Lagrangian,3,194.27760445783213,0.7077380858031899,3.8333333333333335,1.0873004286866725,0.015333333333333332,0.004349201714746692,0.9,0.08164965809277258,,0.0,,0.0,3.8333333333333335,1.0873004286866725
quadrotor2d_track,SAC+Penalty,3,192.68400027161496,1.0779379598261234,1.6666666666666667,0.20548046676563253,0.006666666666666667,0.0008219218670625302,0.6999999999999998,0.16329931618554522,,0.0,,0.0,1.6666666666666667,0.20548046676563253
quadrotor2d_track,KCBF-SAC,3,170.56821687329602,32.10795694073419,32.266666666666666,31.814601818801517,0.00402222222222222,0.001454834426962922,0.13333333333333333,0.04714045207910317,0.23876065795457813,0.13873625520449934,0.010588888888888886,0.00847114200763865,32.266666666666666,31.814601818801517
safety_halfcheetah,SAC,3,7741.408759041967,550.0412073826664,979.4333333333334,0.7318166133366775,0.9794333333333333,0.0007318166133366669,1.0,0.0,,0.0,,0.0,979.4333333333334,0.7318166133366775
safety_halfcheetah,SAC+Lagrangian,3,6781.260771406028,1021.7206882292567,976.9666666666667,1.4839886193034741,0.9769666666666668,0.0014839886193034175,1.0,0.0,,0.0,,0.0,976.9666666666667,1.4839886193034741
safety_halfcheetah,SAC+Penalty,3,7267.419660415154,755.7712402681116,977.9666666666667,0.85764535535125,0.9779666666666665,0.000857645355351192,1.0,0.0,,0.0,,0.0,977.9666666666667,0.85764535535125
safety_halfcheetah,KCBF-SAC,3,2289.661264648152,22.152400267021243,190.9,23.885141824992374,0.8275666666666665,0.008394574967732929,1.0,0.0,-18.821214673798828,1.1576346287670654,0.32186666666666663,0.03155992536253671,190.9,23.885141824992374
safety_walker,SAC,3,3802.93463714176,291.6004399342095,777.8000000000001,65.38567631115143,0.7778,0.06538567631115136,1.0,0.0,,0.0,,0.0,777.8000000000001,65.38567631115143
safety_walker,SAC+Lagrangian,3,2801.220034948796,8.716435628880994,33.43333333333334,14.564187432038752,0.033433333333333336,0.014564187432038753,1.0,0.0,,0.0,,0.0,33.43333333333334,14.564187432038752
safety_walker,SAC+Penalty,3,2826.2268398065257,200.34151190563608,131.4,63.74339181436772,0.1314,0.06374339181436771,0.9666666666666667,0.04714045207910316,,0.0,,0.0,131.4,63.74339181436772
safety_walker,KCBF-SAC,3,2607.4225168596276,201.83132794731327,66.06666666666668,63.903381931023205,0.37005844857065223,0.2255756427481098,1.0,0.0,-7.814960793074069,2.638945294613839,0.038637034142462535,0.026846450401403647,66.06666666666668,63.903381931023205
